,carat,cut,color,clarity,depth,table,x,y,z,carat_range,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,bucket_2,3776.626413940691
1,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,bucket_2,3776.626413940691
2,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,bucket_2,3776.626413940691
3,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,bucket_2,3776.626413940691
4,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,bucket_2,3776.626413940691
5,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,bucket_2,3776.626413940691
6,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,bucket_2,3776.626413940691
7,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,bucket_2,3776.626413940691
8,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,bucket_2,3776.626413940691
9,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,bucket_2,3776.626413940691
10,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,bucket_2,3776.626413940691
11,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,bucket_2,3776.626413940691
12,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,bucket_2,3776.626413940691
13,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,bucket_2,3776.626413940691
14,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,bucket_2,3776.626413940691
15,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,bucket_2,3776.626413940691
16,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,bucket_2,3776.626413940691
17,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,bucket_2,3776.626413940691
18,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,bucket_2,3776.626413940691
19,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,bucket_2,3776.626413940691
20,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,bucket_2,3776.626413940691
21,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,bucket_2,3776.626413940691
22,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,bucket_2,3776.626413940691
23,0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,bucket_2,3776.626413940691
24,0.77,Premium,G,VVS2,60.8,59.0,5.96,5.92,3.61,bucket_2,3776.626413940691
25,0.94,Premium,E,SI2,62.4,58.0,6.33,6.26,3.93,bucket_2,3776.626413940691
26,0.9,Premium,I,VS2,61.8,59.0,6.15,6.21,3.82,bucket_2,3776.626413940691
27,0.9,Ideal,E,VS2,62.1,57.0,6.15,6.18,3.83,bucket_2,3776.626413940691
28,0.77,Ideal,F,SI1,61.5,56.0,5.89,5.95,3.64,bucket_2,3776.626413940691
29,0.91,Ideal,F,SI1,60.2,57.0,6.29,6.34,3.8,bucket_2,3776.626413940691
30,0.91,Ideal,G,SI1,62.1,57.0,6.2,6.23,3.86,bucket_2,3776.626413940691
31,0.76,Good,J,VS1,62.6,61.9,5.7,5.75,3.58,bucket_2,3776.626413940691
32,0.9,Premium,J,VVS2,62.5,61.0,6.15,6.08,3.82,bucket_2,3776.626413940691
33,0.8,Good,G,SI1,63.9,57.0,5.84,5.81,3.72,bucket_2,3776.626413940691
34,0.76,Ideal,E,VS1,60.5,56.0,5.94,5.99,3.61,bucket_2,3776.626413940691
35,0.91,Premium,G,VS1,62.2,58.0,6.22,6.12,3.85,bucket_2,3776.626413940691
36,0.91,Very Good,H,SI1,62.7,56.0,6.14,6.18,3.86,bucket_2,3776.626413940691
37,0.82,Ideal,E,SI2,62.6,55.0,5.94,5.98,3.73,bucket_2,3776.626413940691
38,0.83,Ideal,H,SI2,62.3,54.0,6.04,6.07,3.77,bucket_2,3776.626413940691
