,carat,cut,color,clarity,depth,table,x,y,z,clarity_scale,price_predict
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,4,3692.4598618235564
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,6,962.6426916647376
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,6,1683.726472461407
3,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,5,2610.8341906285527
4,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,6,2765.3521436564106
5,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,10,2765.3521436564106
6,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,8,705.1127699516417
7,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,8,1786.7384411466455
8,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,6,705.1127699516417
9,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,6,1632.2204881187877
10,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,5,1632.2204881187877
11,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,5,550.5948169237838
12,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,5,3743.965846166176
13,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,10,550.5948169237838
14,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,7,756.618754294261
15,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,7,3486.435924453079
16,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,7,962.6426916647376
17,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,8,1838.2444254892648
18,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,5,2353.3042689154568
19,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,8,1117.1606446925953
20,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1,2610.8341906285527
21,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,8,756.618754294261
22,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,9,2765.3521436564106
23,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4,3280.411987082602
24,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,5,1632.2204881187877
25,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,7,1117.1606446925953
26,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,5,653.6067856090224
27,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,7,550.5948169237838
28,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,8,653.6067856090224
29,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,7,705.1127699516417
30,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,7,293.06489521068784
31,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,7,550.5948169237838
32,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,4,1632.2204881187877
33,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,10,653.6067856090224
34,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,4,3846.9778148514138
35,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,6,1632.2204881187877
36,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,6,653.6067856090224
37,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,6,2610.8341906285527
38,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,6,190.0529265254495
39,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,1,3640.9538774809375
40,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,8,1838.2444254892648
41,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,10,756.618754294261
42,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,8,2662.340174971172
43,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,5,1838.2444254892648
44,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,6,1786.7384411466455
