,Date YYYY.MM,Exchange Rate(BRL)
793,1996.01,0.97
794,1996.02,0.98
795,1996.03,0.99
796,1996.04,0.99
797,1996.05,1.0
798,1996.06,1.0
799,1996.07,1.01
800,1996.08,1.01
801,1996.09,1.02
802,1996.10,1.03
803,1996.11,1.03
804,1996.12,1.04
805,1997.01,1.04
806,1997.02,1.05
807,1997.03,1.06
808,1997.04,1.06
809,1997.05,1.07
810,1997.06,1.07
811,1997.07,1.08
812,1997.08,1.09
813,1997.09,1.09
814,1997.10,1.1
815,1997.11,1.11
816,1997.12,1.11
817,1998.01,1.12
818,1998.02,1.13
819,1998.03,1.13
820,1998.04,1.14
821,1998.05,1.15
822,1998.06,1.15
823,1998.07,1.16
824,1998.08,1.17
825,1998.09,1.18
826,1998.10,1.19
827,1998.11,1.19
828,1998.12,1.21
829,1999.01,1.5
830,1999.02,1.91
831,1999.03,1.9
832,1999.04,1.69
833,1999.05,1.68
834,1999.06,1.77
835,1999.07,1.8
836,1999.08,1.88
837,1999.09,1.9
838,1999.10,1.97
839,1999.11,1.93
840,1999.12,1.84
841,2000.01,1.8
842,2000.02,1.78
843,2000.03,1.74
844,2000.04,1.77
845,2000.05,1.83
846,2000.06,1.81
847,2000.07,1.8
848,2000.08,1.81
849,2000.09,1.84
850,2000.10,1.88
851,2000.11,1.95
852,2000.12,1.96
853,2001.01,1.95
854,2001.02,2.0
855,2001.03,2.09
856,2001.04,2.19
857,2001.05,2.3
858,2001.06,2.38
859,2001.07,2.47
860,2001.08,2.51
861,2001.09,2.67
862,2001.10,2.74
863,2001.11,2.54
864,2001.12,2.36
865,2002.01,2.38
866,2002.02,2.42
867,2002.03,2.35
868,2002.04,2.32
869,2002.05,2.48
870,2002.06,2.71
871,2002.07,2.93
872,2002.08,3.11
873,2002.09,3.34
874,2002.10,3.81
875,2002.11,3.58
876,2002.12,3.63
877,2003.01,3.44
878,2003.02,3.59
879,2003.03,3.45
880,2003.04,3.12
881,2003.05,2.96
882,2003.06,2.88
883,2003.07,2.88
884,2003.08,3.0
885,2003.09,2.92
886,2003.10,2.86
887,2003.11,2.91
888,2003.12,2.93
889,2004.01,2.85
890,2004.02,2.93
891,2004.03,2.91
892,2004.04,2.91
893,2004.05,3.1
894,2004.06,3.13
895,2004.07,3.04
896,2004.08,3.0
897,2004.09,2.89
898,2004.10,2.85
899,2004.11,2.79
900,2004.12,2.72
901,2005.01,2.69
902,2005.02,2.6
903,2005.03,2.7
904,2005.04,2.58
905,2005.05,2.45
906,2005.06,2.41
907,2005.07,2.37
908,2005.08,2.36
909,2005.09,2.29
910,2005.10,2.26
911,2005.11,2.21
912,2005.12,2.29
913,2006.01,2.27
914,2006.02,2.16
915,2006.03,2.15
916,2006.04,2.13
917,2006.05,2.18
918,2006.06,2.25
919,2006.07,2.19
920,2006.08,2.16
921,2006.09,2.17
922,2006.10,2.15
923,2006.11,2.16
924,2006.12,2.15
925,2007.01,2.14
926,2007.02,2.1
927,2007.03,2.09
928,2007.04,2.03
929,2007.05,1.98
930,2007.06,1.93
931,2007.07,1.88
932,2007.08,1.97
933,2007.09,1.9
934,2007.10,1.8
935,2007.11,1.77
936,2007.12,1.79
937,2008.01,1.77
938,2008.02,1.73
939,2008.03,1.71
940,2008.04,1.69
941,2008.05,1.66
942,2008.06,1.62
943,2008.07,1.59
944,2008.08,1.61
945,2008.09,1.8
946,2008.10,2.17
947,2008.11,2.27
948,2008.12,2.39
949,2009.01,2.31
950,2009.02,2.31
951,2009.03,2.31
952,2009.04,2.21
953,2009.05,2.06
954,2009.06,1.96
955,2009.07,1.93
956,2009.08,1.85
957,2009.09,1.82
958,2009.10,1.74
959,2009.11,1.73
960,2009.12,1.75
961,2010.01,1.78
962,2010.02,1.84
963,2010.03,1.79
964,2010.04,1.76
965,2010.05,1.81
966,2010.06,1.81
967,2010.07,1.77
968,2010.08,1.76
969,2010.09,1.72
970,2010.10,1.69
971,2010.11,1.71
972,2010.12,1.69
973,2011.01,1.67
974,2011.02,1.67
975,2011.03,1.66
976,2011.04,1.59
977,2011.05,1.61
978,2011.06,1.59
979,2011.07,1.56
980,2011.08,1.6
981,2011.09,1.75
982,2011.10,1.77
983,2011.11,1.79
984,2011.12,1.84
985,2012.01,1.79
986,2012.02,1.72
987,2012.03,1.8
988,2012.04,1.85
989,2012.05,1.99
990,2012.06,2.05
991,2012.07,2.03
992,2012.08,2.03
993,2012.09,2.03
994,2012.10,2.03
995,2012.11,2.07
996,2012.12,2.08
997,2013.01,2.03
998,2013.02,1.97
999,2013.03,1.98
1000,2013.04,2.0
1001,2013.05,2.03
1002,2013.06,2.17
1003,2013.07,2.25
1004,2013.08,2.34
1005,2013.09,2.27
1006,2013.10,2.19
1007,2013.11,2.3
1008,2013.12,2.35
1009,2014.01,2.38
1010,2014.02,2.38
1011,2014.03,2.33
1012,2014.04,2.23
1013,2014.05,2.22
1014,2014.06,2.24
1015,2014.07,2.22
1016,2014.08,2.27
1017,2014.09,2.33
