,year,raw_date,date,weekday,week_month,moving_annual,average_price,price_bucket_conv,price_bucket_org,total_volume,var_4046,var_4225,var_4770,total_bags,small_bags,large_bags,xlarge_bags,type,region,city_region,city_plot,city_label,macroreg_flag,number_of_stores
0,2015,2015-12-27,2015-12-27,6,4,MAT1,1.33,bucket5,,64236.62,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0.0,conventional,Albany,Albany,Albany,Albany,False,
1,2015,2015-12-20,2015-12-20,6,3,MAT1,1.35,bucket5,,54876.98,674.28,44638.81,58.33,9505.56,9408.07,97.49,0.0,conventional,Albany,Albany,Albany,Albany,False,
2,2015,2015-12-13,2015-12-13,6,2,MAT1,0.93,bucket1,,118220.22,794.7,109149.67,130.5,8145.35,8042.21,103.14,0.0,conventional,Albany,Albany,Albany,Albany,False,
3,2015,2015-12-06,2015-12-06,6,1,MAT1,1.08,bucket3,,78992.15,1132.0,71976.41,72.58,5811.16,5677.4,133.76,0.0,conventional,Albany,Albany,Albany,Albany,False,
4,2015,2015-11-29,2015-11-29,6,5,MAT1,1.28,bucket5,,51039.6,941.48,43838.39,75.78,6183.95,5986.26,197.69,0.0,conventional,Albany,Albany,Albany,Albany,False,
5,2015,2015-11-22,2015-11-22,6,4,MAT1,1.26,bucket4,,55979.78,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0.0,conventional,Albany,Albany,Albany,Albany,False,
6,2015,2015-11-15,2015-11-15,6,3,MAT1,0.99,bucket2,,83453.76,1368.92,73672.72,93.26,8318.86,8196.81,122.05,0.0,conventional,Albany,Albany,Albany,Albany,False,
7,2015,2015-11-08,2015-11-08,6,2,MAT1,0.98,bucket2,,109428.33,703.75,101815.36,80.0,6829.22,6266.85,562.37,0.0,conventional,Albany,Albany,Albany,Albany,False,
8,2015,2015-11-01,2015-11-01,6,1,MAT1,1.02,bucket2,,99811.42,1022.15,87315.57,85.34,11388.36,11104.53,283.83,0.0,conventional,Albany,Albany,Albany,Albany,False,
9,2015,2015-10-25,2015-10-25,6,4,MAT1,1.07,bucket3,,74338.76,842.4,64757.44,113.0,8625.92,8061.47,564.45,0.0,conventional,Albany,Albany,Albany,Albany,False,
10,2015,2015-10-18,2015-10-18,6,3,MAT1,1.12,bucket3,,84843.44,924.86,75595.85,117.07,8205.66,7877.86,327.8,0.0,conventional,Albany,Albany,Albany,Albany,False,
11,2015,2015-10-11,2015-10-11,6,2,MAT1,1.28,bucket5,,64489.17,1582.03,52677.92,105.32,10123.9,9866.27,257.63,0.0,conventional,Albany,Albany,Albany,Albany,False,
